date,medicine_name,category,quantity_sold,stock_on_hand,price_per_unit,expiry_date
2023-07-03,Antiviral,Viral Fever,19,981,10.0,2025-02-06
2023-07-03,Insulin,Diabetes,16,984,15.0,2024-07-15
2023-07-04,Paracetamol,Painkiller,14,986,2.0,2024-04-08
2023-07-04,Ibuprofen,Painkiller,4,996,3.0,2024-03-30
2023-07-04,Amoxicillin,Antibiotic,9,991,5.0,2025-04-15
2023-07-04,Cetirizine,Antihistamine,17,983,1.5,2025-01-23
2023-07-04,Azithromycin,Antibiotic,19,981,6.0,2024-11-15
2023-07-04,Metformin,Diabetes,7,993,2.5,2024-04-09
2023-07-04,Pantoprazole,Antacid,7,993,2.0,2024-01-10
2023-07-04,Dolo 650,Painkiller,18,982,2.0,2024-05-09
2023-07-04,Cough Syrup,Cold/Flu,26,974,4.0,2024-02-11
2023-07-04,Multivitamin,Supplement,10,990,3.0,2024-04-11
2023-07-04,ORS Sachet,Dehydration,15,985,1.0,2024-09-25
2023-07-04,Antimalarial,Malaria,9,991,7.0,2024-11-14
2023-07-04,Dengue Kit,Dengue Fever,8,992,12.0,2025-05-07
2023-07-04,Antiviral,Viral Fever,10,990,10.0,2025-04-08
2023-07-04,Insulin,Diabetes,12,988,15.0,2024-03-26
2023-07-05,Paracetamol,Painkiller,14,986,2.0,2025-03-12
2023-07-05,Ibuprofen,Painkiller,6,994,3.0,2024-01-13
2023-07-05,Amoxicillin,Antibiotic,19,981,5.0,2024-04-27
2023-07-05,Cetirizine,Antihistamine,12,988,1.5,2024-12-15
2023-07-05,Azithromycin,Antibiotic,12,988,6.0,2025-02-01
2023-07-05,Metformin,Diabetes,16,984,2.5,2024-02-09
2023-07-05,Pantoprazole,Antacid,9,991,2.0,2025-06-25
2023-07-05,Dolo 650,Painkiller,10,990,2.0,2025-04-21
2023-07-05,Cough Syrup,Cold/Flu,12,988,4.0,2024-08-25
2023-07-05,Multivitamin,Supplement,11,989,3.0,2024-05-21
2023-07-05,ORS Sachet,Dehydration,15,985,1.0,2025-02-14
2023-07-05,Antimalarial,Malaria,11,989,7.0,2024-08-17
2023-07-05,Dengue Kit,Dengue Fever,12,988,12.0,2024-03-08
2023-07-05,Antiviral,Viral Fever,6,994,10.0,2024-01-02
2023-07-05,Insulin,Diabetes,28,972,15.0,2024-03-02
2023-07-06,Paracetamol,Painkiller,16,984,2.0,2024-08-17
2023-07-06,Ibuprofen,Painkiller,8,992,3.0,2024-10-17
2023-07-06,Amoxicillin,Antibiotic,5,995,5.0,2024-10-26
2023-07-06,Cetirizine,Antihistamine,16,984,1.5,2025-01-27
2023-07-06,Azithromycin,Antibiotic,3,997,6.0,2024-06-25
2023-07-06,Metformin,Diabetes,12,988,2.5,2025-01-23
2023-07-06,Pantoprazole,Antacid,7,993,2.0,2024-09-10
2023-07-06,Dolo 650,Painkiller,22,978,2.0,2025-07-01
2023-07-06,Cough Syrup,Cold/Flu,4,996,4.0,2024-10-12
2023-07-06,Multivitamin,Supplement,11,989,3.0,2024-08-04
2023-07-06,ORS Sachet,Dehydration,20,980,1.0,2025-02-09
2023-07-06,Antimalarial,Malaria,3,997,7.0,2024-12-31
2023-07-06,Dengue Kit,Dengue Fever,17,983,12.0,2025-06-08
2023-07-06,Antiviral,Viral Fever,25,975,10.0,2025-01-15
2023-07-06,Insulin,Diabetes,14,986,15.0,2024-02-01
2023-07-07,Paracetamol,Painkiller,14,986,2.0,2025-04-13
2023-07-07,Ibuprofen,Painkiller,19,981,3.0,2024-10-21
2023-07-07,Amoxicillin,Antibiotic,12,988,5.0,2024-01-07
2023-07-07,Cetirizine,Antihistamine,16,984,1.5,2025-02-27
2023-07-07,Azithromycin,Antibiotic,25,975,6.0,2025-05-07
2023-07-07,Metformin,Diabetes,12,988,2.5,2024-12-18
2023-07-07,Pantoprazole,Antacid,17,983,2.0,2024-12-17
2023-07-07,Dolo 650,Painkiller,17,983,2.0,2024-10-08
2023-07-07,Cough Syrup,Cold/Flu,22,978,4.0,2024-11-19
2023-07-07,Multivitamin,Supplement,5,995,3.0,2025-04-06
2023-07-07,ORS Sachet,Dehydration,14,986,1.0,2025-01-31
2023-07-07,Antimalarial,Malaria,9,991,7.0,2025-05-23
2023-07-07,Dengue Kit,Dengue Fever,17,983,12.0,2025-01-11
2023-07-07,Antiviral,Viral Fever,6,994,10.0,2024-02-24
2023-07-07,Insulin,Diabetes,23,977,15.0,2025-03-30
2023-07-08,Paracetamol,Painkiller,10,990,2.0,2024-12-08
2023-07-08,Ibuprofen,Painkiller,21,979,3.0,2025-07-01
2023-07-08,Amoxicillin,Antibiotic,8,992,5.0,2024-09-09
2023-07-08,Cetirizine,Antihistamine,4,996,1.5,2024-09-12
2023-07-08,Azithromycin,Antibiotic,5,995,6.0,2024-02-14
2023-07-08,Metformin,Diabetes,19,981,2.5,2024-02-04
2023-07-08,Pantoprazole,Antacid,15,985,2.0,2025-01-18
2023-07-08,Dolo 650,Painkiller,6,994,2.0,2024-07-05
2023-07-08,Cough Syrup,Cold/Flu,12,988,4.0,2025-02-15
2023-07-08,Multivitamin,Supplement,27,973,3.0,2024-11-12
2023-07-08,ORS Sachet,Dehydration,4,996,1.0,2024-02-15
2023-07-08,Antimalarial,Malaria,10,990,7.0,2025-02-20
2023-07-08,Dengue Kit,Dengue Fever,9,991,12.0,2025-02-01
2023-07-08,Antiviral,Viral Fever,13,987,10.0,2024-05-13
2023-07-08,Insulin,Diabetes,5,995,15.0,2025-06-13
2023-07-09,Paracetamol,Painkiller,12,988,2.0,2025-01-14
2023-07-09,Ibuprofen,Painkiller,15,985,3.0,2024-12-07
2023-07-09,Amoxicillin,Antibiotic,13,987,5.0,2024-06-09
2023-07-09,Cetirizine,Antihistamine,9,991,1.5,2024-06-01
2023-07-09,Azithromycin,Antibiotic,8,992,6.0,2024-11-23
2023-07-09,Metformin,Diabetes,8,992,2.5,2024-09-04
2023-07-09,Pantoprazole,Antacid,14,986,2.0,2025-01-13
2023-07-09,Dolo 650,Painkiller,11,989,2.0,2025-03-14
2023-07-09,Cough Syrup,Cold/Flu,5,995,4.0,2024-12-05
2023-07-09,Multivitamin,Supplement,19,981,3.0,2025-05-04
2023-07-09,ORS Sachet,Dehydration,12,988,1.0,2024-03-20
2023-07-09,Antimalarial,Malaria,17,983,7.0,2024-12-02
2023-07-09,Dengue Kit,Dengue Fever,11,989,12.0,2025-01-10
2023-07-09,Antiviral,Viral Fever,9,991,10.0,2024-12-14
2023-07-09,Insulin,Diabetes,16,984,15.0,2024-12-14
2023-07-10,Paracetamol,Painkiller,13,987,2.0,2024-07-31
2023-07-10,Ibuprofen,Painkiller,10,990,3.0,2024-09-28
2023-07-10,Amoxicillin,Antibiotic,27,973,5.0,2024-06-08
2023-07-10,Cetirizine,Antihistamine,9,991,1.5,2024-08-15
2023-07-10,Azithromycin,Antibiotic,17,983,6.0,2024-06-29
2023-07-10,Metformin,Diabetes,9,991,2.5,2024-07-07
2023-07-10,Pantoprazole,Antacid,17,983,2.0,2024-07-27
2023-07-10,Dolo 650,Painkiller,15,985,2.0,2024-03-16
2023-07-10,Cough Syrup,Cold/Flu,5,995,4.0,2025-07-01
2023-07-10,Multivitamin,Supplement,22,978,3.0,2024-12-03
2023-07-10,ORS Sachet,Dehydration,15,985,1.0,2024-03-24
2023-07-10,Antimalarial,Malaria,4,996,7.0,2025-02-17
2023-07-10,Dengue Kit,Dengue Fever,23,977,12.0,2024-07-24
2023-07-10,Antiviral,Viral Fever,17,983,10.0,2025-01-14
2023-07-10,Insulin,Diabetes,12,988,15.0,2025-02-21
2023-07-11,Paracetamol,Painkiller,8,992,2.0,2024-12-28
2023-07-11,Ibuprofen,Painkiller,1,999,3.0,2024-09-11
2023-07-11,Amoxicillin,Antibiotic,12,988,5.0,2025-02-26
2023-07-11,Cetirizine,Antihistamine,9,991,1.5,2024-03-06
2023-07-11,Azithromycin,Antibiotic,11,989,6.0,2024-04-04
2023-07-11,Metformin,Diabetes,23,977,2.5,2025-06-14
2023-07-11,Pantoprazole,Antacid,16,984,2.0,2024-05-02
2023-07-11,Dolo 650,Painkiller,8,992,2.0,2025-01-03
2023-07-11,Cough Syrup,Cold/Flu,12,988,4.0,2024-10-15
2023-07-11,Multivitamin,Supplement,4,996,3.0,2025-03-08
2023-07-11,ORS Sachet,Dehydration,8,992,1.0,2024-08-13
2023-07-11,Antimalarial,Malaria,19,981,7.0,2025-02-14
2023-07-11,Dengue Kit,Dengue Fever,26,974,12.0,2024-12-14
2023-07-11,Antiviral,Viral Fever,22,978,10.0,2025-05-15
2023-07-11,Insulin,Diabetes,20,980,15.0,2024-10-22
2023-07-12,Paracetamol,Painkiller,8,992,2.0,2024-07-16
2023-07-12,Ibuprofen,Painkiller,5,995,3.0,2024-06-28
2023-07-12,Amoxicillin,Antibiotic,18,982,5.0,2024-11-12
2023-07-12,Cetirizine,Antihistamine,5,995,1.5,2025-03-05
2023-07-12,Azithromycin,Antibiotic,18,982,6.0,2024-11-21
2023-07-12,Metformin,Diabetes,6,994,2.5,2025-03-05
2023-07-12,Pantoprazole,Antacid,12,988,2.0,2024-06-09
2023-07-12,Dolo 650,Painkiller,12,988,2.0,2025-03-30
2023-07-12,Cough Syrup,Cold/Flu,17,983,4.0,2024-04-04
2023-07-12,Multivitamin,Supplement,13,987,3.0,2024-10-08
2023-07-12,ORS Sachet,Dehydration,7,993,1.0,2025-07-06
2023-07-12,Antimalarial,Malaria,3,997,7.0,2024-01-25
2023-07-12,Dengue Kit,Dengue Fever,4,996,12.0,2025-03-01
2023-07-12,Antiviral,Viral Fever,25,975,10.0,2024-07-14
2023-07-12,Insulin,Diabetes,18,982,15.0,2024-12-11
2023-07-13,Paracetamol,Painkiller,14,986,2.0,2025-06-09
2023-07-13,Ibuprofen,Painkiller,27,973,3.0,2025-04-03
2023-07-13,Amoxicillin,Antibiotic,20,980,5.0,2025-03-22
2023-07-13,Cetirizine,Antihistamine,8,992,1.5,2024-02-09
2023-07-13,Azithromycin,Antibiotic,21,979,6.0,2025-05-15
2023-07-13,Metformin,Diabetes,20,980,2.5,2025-07-12
2023-07-13,Pantoprazole,Antacid,5,995,2.0,2024-03-03
2023-07-13,Dolo 650,Painkiller,8,992,2.0,2024-10-10
2023-07-13,Cough Syrup,Cold/Flu,5,995,4.0,2025-03-19
2023-07-13,Multivitamin,Supplement,16,984,3.0,2024-04-08
2023-07-13,ORS Sachet,Dehydration,10,990,1.0,2024-11-29
2023-07-13,Antimalarial,Malaria,8,992,7.0,2025-03-31
2023-07-13,Dengue Kit,Dengue Fever,21,979,12.0,2024-10-17
2023-07-13,Antiviral,Viral Fever,10,990,10.0,2024-02-01
2023-07-13,Insulin,Diabetes,22,978,15.0,2024-10-24
2023-07-14,Paracetamol,Painkiller,10,990,2.0,2024-08-10
2023-07-14,Ibuprofen,Painkiller,14,986,3.0,2024-07-13
2023-07-14,Amoxicillin,Antibiotic,9,991,5.0,2025-02-11
2023-07-14,Cetirizine,Antihistamine,10,990,1.5,2024-09-05
2023-07-14,Azithromycin,Antibiotic,8,992,6.0,2025-06-29
2023-07-14,Metformin,Diabetes,4,996,2.5,2024-09-10
2023-07-14,Pantoprazole,Antacid,14,986,2.0,2025-05-14
2023-07-14,Dolo 650,Painkiller,15,985,2.0,2025-05-16
2023-07-14,Cough Syrup,Cold/Flu,5,995,4.0,2025-06-21
2023-07-14,Multivitamin,Supplement,13,987,3.0,2024-05-09
2023-07-14,ORS Sachet,Dehydration,4,996,1.0,2024-08-21
2023-07-14,Antimalarial,Malaria,5,995,7.0,2025-05-08
2023-07-14,Dengue Kit,Dengue Fever,27,973,12.0,2025-05-08
2023-07-14,Antiviral,Viral Fever,13,987,10.0,2025-01-06
2023-07-14,Insulin,Diabetes,20,980,15.0,2025-06-21
2023-07-15,Paracetamol,Painkiller,8,992,2.0,2024-02-24
2023-07-15,Ibuprofen,Painkiller,6,994,3.0,2024-12-26
2023-07-15,Amoxicillin,Antibiotic,16,984,5.0,2024-04-03
2023-07-15,Cetirizine,Antihistamine,16,984,1.5,2024-06-26
2023-07-15,Azithromycin,Antibiotic,26,974,6.0,2024-05-10
2023-07-15,Metformin,Diabetes,12,988,2.5,2024-02-16
2023-07-15,Pantoprazole,Antacid,19,981,2.0,2024-03-02
2023-07-15,Dolo 650,Painkiller,7,993,2.0,2024-05-06
2023-07-15,Cough Syrup,Cold/Flu,11,989,4.0,2024-02-07
2023-07-15,Multivitamin,Supplement,5,995,3.0,2025-06-25
2023-07-15,ORS Sachet,Dehydration,16,984,1.0,2024-04-22
2023-07-15,Antimalarial,Malaria,11,989,7.0,2025-07-05
2023-07-15,Dengue Kit,Dengue Fever,18,982,12.0,2024-07-01
2023-07-15,Antiviral,Viral Fever,5,995,10.0,2025-05-17
2023-07-15,Insulin,Diabetes,7,993,15.0,2025-06-29
2023-07-16,Paracetamol,Painkiller,8,992,2.0,2024-05-23
2023-07-16,Ibuprofen,Painkiller,18,982,3.0,2025-03-19
2023-07-16,Amoxicillin,Antibiotic,9,991,5.0,2024-03-20
2023-07-16,Cetirizine,Antihistamine,10,990,1.5,2024-02-13
2023-07-16,Azithromycin,Antibiotic,7,993,6.0,2025-07-04
2023-07-16,Metformin,Diabetes,15,985,2.5,2024-04-21
2023-07-16,Pantoprazole,Antacid,5,995,2.0,2024-10-04
2023-07-16,Dolo 650,Painkiller,12,988,2.0,2025-02-23
2023-07-16,Cough Syrup,Cold/Flu,20,980,4.0,2025-04-06
2023-07-16,Multivitamin,Supplement,17,983,3.0,2024-03-10
2023-07-16,ORS Sachet,Dehydration,18,982,1.0,2025-05-18
2023-07-16,Antimalarial,Malaria,24,976,7.0,2025-03-10
2023-07-16,Dengue Kit,Dengue Fever,20,980,12.0,2025-03-31
2023-07-16,Antiviral,Viral Fever,11,989,10.0,2025-05-04
2023-07-16,Insulin,Diabetes,19,981,15.0,2025-03-23
2023-07-17,Paracetamol,Painkiller,14,986,2.0,2025-02-03
2023-07-17,Ibuprofen,Painkiller,8,992,3.0,2024-05-09
2023-07-17,Amoxicillin,Antibiotic,12,988,5.0,2024-10-31
2023-07-17,Cetirizine,Antihistamine,7,993,1.5,2024-01-31
2023-07-17,Azithromycin,Antibiotic,17,983,6.0,2024-04-09
2023-07-17,Metformin,Diabetes,17,983,2.5,2025-02-18
2023-07-17,Pantoprazole,Antacid,21,979,2.0,2024-01-30
2023-07-17,Dolo 650,Painkiller,19,981,2.0,2024-01-26
2023-07-17,Cough Syrup,Cold/Flu,11,989,4.0,2024-04-29
2023-07-17,Multivitamin,Supplement,9,991,3.0,2024-12-16
2023-07-17,ORS Sachet,Dehydration,15,985,1.0,2025-03-28
2023-07-17,Antimalarial,Malaria,9,991,7.0,2025-01-15
2023-07-17,Dengue Kit,Dengue Fever,16,984,12.0,2025-07-05
2023-07-17,Antiviral,Viral Fever,20,980,10.0,2025-07-05
2023-07-17,Insulin,Diabetes,17,983,15.0,2024-09-29
2023-07-18,Paracetamol,Painkiller,21,979,2.0,2024-04-12
2023-07-18,Ibuprofen,Painkiller,23,977,3.0,2024-02-07
2023-07-18,Amoxicillin,Antibiotic,5,995,5.0,2024-09-13
2023-07-18,Cetirizine,Antihistamine,16,984,1.5,2024-10-23
2023-07-18,Azithromycin,Antibiotic,10,990,6.0,2024-08-01
2023-07-18,Metformin,Diabetes,16,984,2.5,2024-11-14
2023-07-18,Pantoprazole,Antacid,10,990,2.0,2024-02-10
2023-07-18,Dolo 650,Painkiller,12,988,2.0,2024-09-13
2023-07-18,Cough Syrup,Cold/Flu,20,980,4.0,2024-11-25
2023-07-18,Multivitamin,Supplement,15,985,3.0,2024-03-30
2023-07-18,ORS Sachet,Dehydration,24,976,1.0,2024-12-20
2023-07-18,Antimalarial,Malaria,9,991,7.0,2024-12-30
2023-07-18,Dengue Kit,Dengue Fever,5,995,12.0,2024-11-25
2023-07-18,Antiviral,Viral Fever,12,988,10.0,2024-11-28
2023-07-18,Insulin,Diabetes,14,986,15.0,2024-07-27
2023-07-19,Paracetamol,Painkiller,11,989,2.0,2024-08-04
2023-07-19,Ibuprofen,Painkiller,20,980,3.0,2024-01-28
2023-07-19,Amoxicillin,Antibiotic,15,985,5.0,2024-01-28
2023-07-19,Cetirizine,Antihistamine,3,997,1.5,2024-10-03
2023-07-19,Azithromycin,Antibiotic,10,990,6.0,2024-09-13
2023-07-19,Metformin,Diabetes,5,995,2.5,2025-06-08
2023-07-19,Pantoprazole,Antacid,2,998,2.0,2024-05-22
2023-07-19,Dolo 650,Painkiller,15,985,2.0,2025-04-16
2023-07-19,Cough Syrup,Cold/Flu,24,976,4.0,2024-09-16
2023-07-19,Multivitamin,Supplement,17,983,3.0,2025-02-16
2023-07-19,ORS Sachet,Dehydration,14,986,1.0,2025-04-20
2023-07-19,Antimalarial,Malaria,7,993,7.0,2024-12-17
2023-07-19,Dengue Kit,Dengue Fever,11,989,12.0,2024-09-09
2023-07-19,Antiviral,Viral Fever,10,990,10.0,2024-08-03
2023-07-19,Insulin,Diabetes,10,990,15.0,2024-09-13
2023-07-20,Paracetamol,Painkiller,15,985,2.0,2024-12-16
2023-07-20,Ibuprofen,Painkiller,12,988,3.0,2025-07-12
2023-07-20,Amoxicillin,Antibiotic,7,993,5.0,2025-04-11
2023-07-20,Cetirizine,Antihistamine,20,980,1.5,2024-05-18
2023-07-20,Azithromycin,Antibiotic,18,982,6.0,2024-03-03
2023-07-20,Metformin,Diabetes,1,999,2.5,2024-05-05
2023-07-20,Pantoprazole,Antacid,14,986,2.0,2024-01-28
2023-07-20,Dolo 650,Painkiller,6,994,2.0,2024-09-10
2023-07-20,Cough Syrup,Cold/Flu,7,993,4.0,2024-05-26
2023-07-20,Multivitamin,Supplement,7,993,3.0,2024-10-24
2023-07-20,ORS Sachet,Dehydration,15,985,1.0,2025-03-21
2023-07-20,Antimalarial,Malaria,21,979,7.0,2024-12-15
2023-07-20,Dengue Kit,Dengue Fever,8,992,12.0,2025-06-24
2023-07-20,Antiviral,Viral Fever,14,986,10.0,2025-02-27
2023-07-20,Insulin,Diabetes,7,993,15.0,2024-10-01
2023-07-21,Paracetamol,Painkiller,18,982,2.0,2024-04-15
2023-07-21,Ibuprofen,Painkiller,7,993,3.0,2025-03-13
2023-07-21,Amoxicillin,Antibiotic,16,984,5.0,2024-03-03
2023-07-21,Cetirizine,Antihistamine,12,988,1.5,2025-06-13
2023-07-21,Azithromycin,Antibiotic,15,985,6.0,2025-06-12
2023-07-21,Metformin,Diabetes,16,984,2.5,2024-03-28
2023-07-21,Pantoprazole,Antacid,18,982,2.0,2024-08-08
2023-07-21,Dolo 650,Painkiller,23,977,2.0,2025-01-25
2023-07-21,Cough Syrup,Cold/Flu,23,977,4.0,2024-11-28
2023-07-21,Multivitamin,Supplement,12,988,3.0,2025-06-18
2023-07-21,ORS Sachet,Dehydration,10,990,1.0,2024-04-06
2023-07-21,Antimalarial,Malaria,13,987,7.0,2024-07-06
2023-07-21,Dengue Kit,Dengue Fever,5,995,12.0,2024-03-22
2023-07-21,Antiviral,Viral Fever,17,983,10.0,2024-07-01
2023-07-21,Insulin,Diabetes,10,990,15.0,2025-05-22
2023-07-22,Paracetamol,Painkiller,14,986,2.0,2024-06-12
2023-07-22,Ibuprofen,Painkiller,9,991,3.0,2024-07-08
2023-07-22,Amoxicillin,Antibiotic,12,988,5.0,2024-02-05
2023-07-22,Cetirizine,Antihistamine,12,988,1.5,2024-03-09
2023-07-22,Azithromycin,Antibiotic,8,992,6.0,2024-02-25
2023-07-22,Metformin,Diabetes,4,996,2.5,2024-06-17
2023-07-22,Pantoprazole,Antacid,10,990,2.0,2024-02-03
2023-07-22,Dolo 650,Painkiller,22,978,2.0,2024-07-01
2023-07-22,Cough Syrup,Cold/Flu,23,977,4.0,2025-07-13
2023-07-22,Multivitamin,Supplement,9,991,3.0,2024-12-26
2023-07-22,ORS Sachet,Dehydration,16,984,1.0,2025-04-15
2023-07-22,Antimalarial,Malaria,15,985,7.0,2025-04-14
2023-07-22,Dengue Kit,Dengue Fever,15,985,12.0,2024-04-04
2023-07-22,Antiviral,Viral Fever,15,985,10.0,2024-09-21
2023-07-22,Insulin,Diabetes,9,991,15.0,2025-06-11
2023-07-23,Paracetamol,Painkiller,18,982,2.0,2024-12-31
2023-07-23,Ibuprofen,Painkiller,19,981,3.0,2024-07-03
2023-07-23,Amoxicillin,Antibiotic,12,988,5.0,2024-09-13
2023-07-23,Cetirizine,Antihistamine,14,986,1.5,2024-02-12
2023-07-23,Azithromycin,Antibiotic,4,996,6.0,2024-10-22
2023-07-23,Metformin,Diabetes,10,990,2.5,2024-02-12
2023-07-23,Pantoprazole,Antacid,22,978,2.0,2024-05-10
2023-07-23,Dolo 650,Painkiller,14,986,2.0,2024-11-11
2023-07-23,Cough Syrup,Cold/Flu,6,994,4.0,2025-06-15
2023-07-23,Multivitamin,Supplement,10,990,3.0,2024-01-22
2023-07-23,ORS Sachet,Dehydration,18,982,1.0,2025-06-06
2023-07-23,Antimalarial,Malaria,20,980,7.0,2025-03-12
2023-07-23,Dengue Kit,Dengue Fever,20,980,12.0,2025-03-24
2023-07-23,Antiviral,Viral Fever,9,991,10.0,2024-02-21
2023-07-23,Insulin,Diabetes,10,990,15.0,2024-02-03
2023-07-24,Paracetamol,Painkiller,15,985,2.0,2024-11-16
2023-07-24,Ibuprofen,Painkiller,6,994,3.0,2024-08-21
2023-07-24,Amoxicillin,Antibiotic,22,978,5.0,2024-02-17
2023-07-24,Cetirizine,Antihistamine,10,990,1.5,2024-11-12
2023-07-24,Azithromycin,Antibiotic,13,987,6.0,2024-12-31
2023-07-24,Metformin,Diabetes,12,988,2.5,2024-04-20
2023-07-24,Pantoprazole,Antacid,17,983,2.0,2024-10-01
2023-07-24,Dolo 650,Painkiller,25,975,2.0,2024-07-10
2023-07-24,Cough Syrup,Cold/Flu,11,989,4.0,2024-12-09
2023-07-24,Multivitamin,Supplement,20,980,3.0,2024-08-09
2023-07-24,ORS Sachet,Dehydration,5,995,1.0,2025-01-05
2023-07-24,Antimalarial,Malaria,22,978,7.0,2024-03-13
2023-07-24,Dengue Kit,Dengue Fever,16,984,12.0,2024-05-09
2023-07-24,Antiviral,Viral Fever,8,992,10.0,2024-02-02
2023-07-24,Insulin,Diabetes,10,990,15.0,2025-03-14
2023-07-25,Paracetamol,Painkiller,9,991,2.0,2024-11-23
2023-07-25,Ibuprofen,Painkiller,3,997,3.0,2024-07-26
2023-07-25,Amoxicillin,Antibiotic,4,996,5.0,2025-04-06
2023-07-25,Cetirizine,Antihistamine,4,996,1.5,2024-05-26
2023-07-25,Azithromycin,Antibiotic,23,977,6.0,2024-02-17
2023-07-25,Metformin,Diabetes,9,991,2.5,2024-11-25
2023-07-25,Pantoprazole,Antacid,6,994,2.0,2025-04-07
2023-07-25,Dolo 650,Painkiller,14,986,2.0,2024-08-11
2023-07-25,Cough Syrup,Cold/Flu,10,990,4.0,2025-01-20
2023-07-25,Multivitamin,Supplement,20,980,3.0,2024-02-08
2023-07-25,ORS Sachet,Dehydration,16,984,1.0,2025-03-28
2023-07-25,Antimalarial,Malaria,17,983,7.0,2025-07-07
2023-07-25,Dengue Kit,Dengue Fever,8,992,12.0,2025-03-16
2023-07-25,Antiviral,Viral Fever,14,986,10.0,2024-05-21
2023-07-25,Insulin,Diabetes,16,984,15.0,2024-09-15
2023-07-26,Paracetamol,Painkiller,13,987,2.0,2024-06-26
2023-07-26,Ibuprofen,Painkiller,7,993,3.0,2024-09-07
2023-07-26,Amoxicillin,Antibiotic,5,995,5.0,2024-12-18
2023-07-26,Cetirizine,Antihistamine,15,985,1.5,2024-04-25
2023-07-26,Azithromycin,Antibiotic,15,985,6.0,2024-11-07
2023-07-26,Metformin,Diabetes,9,991,2.5,2025-04-26
2023-07-26,Pantoprazole,Antacid,8,992,2.0,2025-05-31
2023-07-26,Dolo 650,Painkiller,8,992,2.0,2024-08-22
2023-07-26,Cough Syrup,Cold/Flu,26,974,4.0,2024-04-10
2023-07-26,Multivitamin,Supplement,19,981,3.0,2024-11-17
2023-07-26,ORS Sachet,Dehydration,4,996,1.0,2025-06-03
2023-07-26,Antimalarial,Malaria,16,984,7.0,2024-04-29
2023-07-26,Dengue Kit,Dengue Fever,19,981,12.0,2025-01-12
2023-07-26,Antiviral,Viral Fever,8,992,10.0,2025-04-01
2023-07-26,Insulin,Diabetes,15,985,15.0,2024-03-01
2023-07-27,Paracetamol,Painkiller,6,994,2.0,2025-02-24
2023-07-27,Ibuprofen,Painkiller,8,992,3.0,2024-06-21
2023-07-27,Amoxicillin,Antibiotic,18,982,5.0,2024-07-02
